department_raw,department_clean,department_group,count
ESE - Econometrics,Ese - Econometrics,Ese - Econometrics,2
"ESHPM, Health Economics group","Eshpm, Health Economics Group","Eshpm, Health Economics Group",2
"ESHPM, section Health Services Management and Organization","Eshpm, Health Services Management and Organization","Eshpm, Health Services Management and Organization",2
ESHPM/ Law & Health Care (LHC),Eshpm / Law and Health Care (Lhc),Eshpm / Law and Health Care (Lhc),2
"ESS, TPM","Ess, Tpm","Ess, Tpm",2
ESSB,Essb,Essb,2
EUR,Eur,Eur,2
Erasmus,Erasmus,Erasmus,2
Erasmus School of Health Policy & Manage- ment,Erasmus School of Health Policy and Manage- Ment,Erasmus School of Health Policy and Manage- Ment,2
Erasmus School of Health Policy and Management,Erasmus School of Health Policy and Management,Erasmus School of Health Policy and Management,2
Erasmus School of Philosoph y,Erasmus School of Philosoph Y,Erasmus School of Philosoph Y,2
Experimental Urology,Urology,Urology,2
Fac. Industrial Design Engineering,Fac. Industrial Design Engineering,Fac. Industrial Design Engineering,2
Faculty of,Faculty of,Faculty of,2
Faculty of Industrial Design Engineering,Faculty of Industrial Design Engineering,Faculty of Industrial Design Engineering,2
Gastroenterology,Gastroenterology,Gastroenterology,2
Gastroenterology & Hepatology,Gastroenterology and Hepatology,Gastroenterology and Hepatology,2
General Pediatrics,General Pediatrics,General Pediatrics,2
Health Services Management & Organisation,Health Services Management and Organisation,Health Services Management and Organisation,2
Health Technology Assessment,Health Technology Assessment,Health Technology Assessment,2
Healthcare Governance,Healthcare Governance,Healthcare Governance,2
Hematology,Hematology,Hematology,2
Hospital pharmacy,Pharmacy,Pharmacy,2
Housing and Urban Development Studies,Housing and Urban Development Studies,Housing and Urban Development Studies,2
ICU,ICU,ICU,2
Immunology,Immunology,Immunology,2
Industrial Design,Industrial Design,Industrial Design,2
Intelligent Systems,Intelligent Systems,Intelligent Systems,2
Intelligent Systems Department - CGV,Intelligent Systems Department - Cgv,Intelligent Systems Department - Cgv,2
Internal,Internal,Internal,2
Inwendige Geneeskunde,Inwendige Geneeskunde,Inwendige Geneeskunde,2
Inwendige Geneeskunde / Kinderchirurgie,Inwendige Geneeskunde / Kinderchirurgie,Inwendige Geneeskunde / Kinderchirurgie,2
Law & Healthcare,Law and Healthcare,Law and Healthcare,2
"Medical Ethics, Philosophy and History of Medicine","Medical Ethics, Philosophy and History of Medicine","Medical Ethics, Philosophy and History of Medicine",2
Medical Informatics,Medical Informatics,Medical Informatics,2
Multi-Actor Systems,Multi-Actor Systems,Multi-Actor Systems,2
N.a.,N.A.,N.A.,2
Oncology,Oncology,Oncology,2
Optical Imaging Centre,Optical Imaging Centre,Optical Imaging Centre,2
Orthopaedics & Sports Medicine,Orthopaedics,Orthopaedics,2
Paediatric ICU,Paediatric ICU,Paediatric ICU,2
Paediatrics,Paediatrics,Paediatrics,2
Pediatric Metabolic diseases,Pediatric Metabolic Diseases,Pediatric Metabolic Diseases,2
Pediatric Surgery,Surgery,Surgery,2
"Psycholog y, Education and Child Studies","Psycholog Y, Education and Child Studies","Psycholog Y, Education and Child Studies",2
"Psychology, Education and Child Studies",Psychology,Psychology,2
Radiation Oncology,Radiation Oncology,Radiation Oncology,2
"Safety & Security at VTI, TPM","Safety and Security At Vti, Tpm","Safety and Security At Vti, Tpm",2
Surgical Oncology,Surgical Oncology,Surgical Oncology,2
"TPM, Multi Actor Systems","Tpm, Multi Actor Systems","Tpm, Multi Actor Systems",2
"TPM, Values, Technology and Innovation","Tpm, Values, Technology and Innovation","Tpm, Values, Technology and Innovation",2
TU Delft,Tu Delft,Tu Delft,2
Technology and Operations management,Technology and Operations Management,Technology and Operations Management,2
Trauma surgery,Surgery,Surgery,2
"Values, Technology & Innovation","Values, Technology and Innovation","Values, Technology and Innovation",2
iMGZ,Imgz,Imgz,2
tnw,Tnw,Tnw,2
3ME,3me,3me,1
3ME/ Precision and Microsystems Engineering (PME),3me / Precision and Microsystems Engineering (Pme),3me / Precision and Microsystems Engineering (Pme),1
Applie,Applie,Applie,1
Applied Economics (ESE),Applied Economics (Ese),Applied Economics (Ese),1
Applied Sciences,Applied Sciences,Applied Sciences,1
Architectur e and the Built Environme nt,Architectur E and the Built Environme Nt,Architectur E and the Built Environme Nt,1
Architecture & the Built Environment,Architecture and the Built Environment,Architecture and the Built Environment,1
Bayer Nederland,Bayer Nederland,Bayer Nederland,1
Biiomechanical Engineering,Biiomechanical Engineering,Biiomechanical Engineering,1
Bio Electronics,Bio Electronics,Bio Electronics,1
BioMechanical Engineering Orthopedics & Sportsmedicine,Biomechanical Engineering,Biomechanical Engineering,1
Biochemistry,Biochemistry,Biochemistry,1
Bioinformatics Lab,Bioinformatics Lab,Bioinformatics Lab,1
Biomechanical Eng.,Biomechanical Eng.,Biomechanical Eng.,1
Biomechanical Engineering Imaging Physics,Biomechanical Engineering,Biomechanical Engineering,1
Biomechanical Engineering.,Biomechanical Engineering,Biomechanical Engineering,1
Biomed. Eng./ Biomechanical Eng.,Biomed. Eng. / Biomechanical Eng.,Biomed. Eng. / Biomechanical Eng.,1
Biomedical Eng./ Medical Imaging,Biomedical Eng. / Medical Imaging,Biomedical Eng. / Medical Imaging,1
Biomedical Imaging Applied Sciences,Biomedical Imaging Applied Sciences,Biomedical Imaging Applied Sciences,1
Biostatistics,Biostatistics,Biostatistics,1
"Business Economics, Erasmus School of Economics","Business Economics, Erasmus School of Economics","Business Economics, Erasmus School of Economics",1
CEO and Founder,Ceo and Founder,Ceo and Founder,1
"Cardiology, Radiology & Nuclear Medicine",Radiology and Nuclear Medicine,Radiology and Nuclear Medicine,1
Cardiology/ Biomechanical engineering (BME),Biomechanical Engineering,Biomechanical Engineering,1
Cardiology/ Biomedical Engineering,Biomedical Engineering,Biomedical Engineering,1
Cardiothoracic Surgery,Surgery,Surgery,1
Cardiothoracic surgery,Surgery,Surgery,1
Cell biology,Cell Biology,Cell Biology,1
Centre for Safety in Healthcare,Centre for Safety in Healthcare,Centre for Safety in Healthcare,1
Chemical Engi- neering,Chemical Engi- Neering,Chemical Engi- Neering,1
Child and Adolescent Psychiatry/Psychology,Psychiatry,Psychiatry,1
Child/Adolescent Psychiatry/ Psychology,Psychiatry,Psychiatry,1
"Clinical Genetics, Radiology and Nuclear Medicine.",Radiology and Nuclear Medicine,Radiology and Nuclear Medicine,1
Clinical genetics,Clinical Genetics,Clinical Genetics,1
Clinical oncology (ENT use case),Clinical Oncology (Ent Use Case),Clinical Oncology (Ent Use Case),1
"Commercial Law, Corporate and Financial Law","Commercial Law, Corporate and Financial Law","Commercial Law, Corporate and Financial Law",1
Comp. Graphics & visualisation,Comp. Graphics and Visualisation,Comp. Graphics and Visualisation,1
Computer Science,Computer Science,Computer Science,1
Copeland (TUD s.m.cope,Copeland (Tud S.M.Cope,Copeland (Tud S.M.Cope,1
Corsano Health,Corsano Health,Corsano Health,1
Critical Care,Critical Care,Critical Care,1
Delft Center for Systems &Control,Delft Center for Systems and Control,Delft Center for Systems and Control,1
Delft Center for systems and control,Delft Center for Systems and Control,Delft Center for Systems and Control,1
Delft Institute of Applied Mathematics,Delft Institute of Applied Mathematics,Delft Institute of Applied Mathematics,1
Delft Institute of Technology,Delft Institute of Technology,Delft Institute of Technology,1
Department Developmental Biology,Department Developmental Biology,Department Developmental Biology,1
"Department Medical Ethics, Philosophy and History of Medicine","Department Medical Ethics, Philosophy and History of Medicine","Department Medical Ethics, Philosophy and History of Medicine",1
Department of Bionanoscience,Bionanoscience,Bionanoscience,1
Department of Biotechnology,Biotechnology,Biotechnology,1
Department of Cell Biology and Center for Biomics,Cell Biology and Center for Biomics,Cell Biology and Center for Biomics,1
Department of Chemical Engineering,Chemical Engineering,Chemical Engineering,1
Department of Child Adolescent Psychiatry/Psyc hology,Psychiatry,Psychiatry,1
"Department of Child Adolescent Psychiatry/Psyc hology, certified psychologist",Psychiatry,Psychiatry,1
Department of Child Adolescent Psychiatry/Psyc hology; Erasmus University ESSB,Psychiatry; Erasmus University Essb,Psychiatry,1
"Department of Child and Adolescent Psychiatry/ Psychology; Erasmus School of Health Policy & Management, Erasmus University Rotterdam, child and adolescent psychiatrist",Psychiatry; Erasmus School of Health Policy and Management,Psychiatry,1
Department of Child and Adolescent Psychiatry/Psyc hology (CAPP),Psychiatry,Psychiatry,1
"Department of Child and Adolescent Psychiatry/Psyc hology, child and adolescent psychiatrist, clinical pharmacologist",Psychiatry,Psychiatry,1
Department of Clinical Genetics Department of Neuroscience,Neuroscience,Neuroscience,1
"Department of Electrical Engineering, Mathematics and Computer Science","Electrical Engineering, Mathematics and Computer Science","Electrical Engineering, Mathematics and Computer Science",1
Department of General Practice,General Practice,General Practice,1
Department of Hematology,Hematology,Hematology,1
Department of Imaging Physics,Imaging Physics,Imaging Physics,1
Department of Industrial Design,Industrial Design,Industrial Design,1
Department of Internal Medicine,Internal Medicine,Internal Medicine,1
Department of Internal Oncology,Internal Oncology,Internal Oncology,1
"Department of Medical Ethics, Philosophy and History of Medicine)","Medical Ethics, Philosophy and History of Medicine)","Medical Ethics, Philosophy and History of Medicine)",1
Department of Neurology and,Neurology,Neurology,1
Department of Neurology and Clinical Neurophysiology,Neurology,Neurology,1
Department of Neurosurgery,Neurosurgery,Neurosurgery,1
Department of Ophthalmology,Ophthalmology,Ophthalmology,1
Department of Orthopedic Surgery,Orthopaedic Surgery,Orthopaedic Surgery,1
Department of Otorhinolaryngology,Otorhinolaryngology,Otorhinolaryngology,1
Department of Otorhinolaryngology and Department of Neurophysiology,Otorhinolaryngology and Neurophysiology,Otorhinolaryngology and Neurophysiology,1
Department of Pediatrics Department of Clinical Genetics,Clinical Genetics,Clinical Genetics,1
Department of Plastic Surgery and Craniofacial surgery,Surgery,Surgery,1
Department of Precision and Microsystems Engineering (PME),Precision and Microsystems Engineering (Pme),Precision and Microsystems Engineering (Pme),1
"Department of Psychology, Education and Child Studies",Psychology,Psychology,1
Department of Pulmonary Medicine,Pulmonary Medicine,Pulmonary Medicine,1
Department of Radiology,Radiology,Radiology,1
Department of Rehabilitation Medicine,Rehabilitation Medicine,Rehabilitation Medicine,1
Department of Software Technology,Software Technology,Software Technology,1
Department of Sustainable Design Engineering,Sustainable Design Engineering,Sustainable Design Engineering,1
Department of pediatrics,Pediatrics,Pediatrics,1
Departments of Hospital Phar macy and Oncology,Departments of Hospital Phar Macy and Oncology,Departments of Hospital Phar Macy and Oncology,1
"Departments of Psychiatry, Child and Adolescent Psychiatry/Psyc hology, (child and adolescent) psychiatrist",Psychiatry,Psychiatry,1
"Dept. Bionanoscience, Kavli Institute of Nanoscience","Bionanoscience, Kavli Institute of Nanoscience","Bionanoscience, Kavli Institute of Nanoscience",1
"Dept. of Oral and Maxillofacial Surgery, Orthodontic and Special Dental Care",Surgery,Surgery,1
"Dept. of Psychology, Education and Child Studies, EUR & Dept. of Child and Adolescent Psychiatry, EMC",Psychiatry,Psychiatry,1
Dermatology,Dermatology,Dermatology,1
Developm. Biology,Developm. Biology,Developm. Biology,1
"Developm. Biology,",Developm. Biology,Developm. Biology,1
"Director, pharmaco- epidemiologis t","Director, Pharmaco- Epidemiologis T","Director, Pharmaco- Epidemiologis T",1
Director:,Director:,Director:,1
Dutch Nutrition Center,Dutch Nutrition Center,Dutch Nutrition Center,1
EMC Graduate School,EMC Graduate School,EMC Graduate School,1
ENT oncology,Ent Oncology,Ent Oncology,1
ESE -Applied Economics,Ese -Applied Economics,Ese -Applied Economics,1
ESE-Applied Economics,Ese-Applied Economics,Ese-Applied Economics,1
"ESHPM, Healthcare governance group","Eshpm, Healthcare Governance Group","Eshpm, Healthcare Governance Group",1
ESHPM/ Health Care Governance,Eshpm / Health Care Governance,Eshpm / Health Care Governance,1
ESHPM/ Health Services Management & Organization,Eshpm / Health Services Management and Organization,Eshpm / Health Services Management and Organization,1
ESHPM/ Medical Technology Assessment,Eshpm / Medical Technology Assessment,Eshpm / Medical Technology Assessment,1
ESPHIL,Esphil,Esphil,1
"ESPHM,",Esphm,Esphm,1
"ETI at VTI, TPM","Eti At Vti, Tpm","Eti At Vti, Tpm",1
EWI,Ewi,Ewi,1
Econometric Institute,Econometric Institute,Econometric Institute,1
Educational &,Educational and,Educational and,1
Electrical Engineering Mathema- tics and Computer Science,Electrical Engineering Mathema- Tics and Computer Science,Electrical Engineering Mathema- Tics and Computer Science,1
"Electrical Engineering, Mathematics and Computer Science (EWI)/ Electronic Components,","Electrical Engineering, Mathematics and Computer Science (Ewi) / Electronic Components","Electrical Engineering, Mathematics and Computer Science (Ewi) / Electronic Components",1
"Electrical Engineering, Mathematics and Computer Science (EWI)/Bioelectronics (BE)/ Microelectronics","Electrical Engineering, Mathematics and Computer Science (Ewi) / Bioelectronics (Be) / Microelectronics","Electrical Engineering, Mathematics and Computer Science (Ewi) / Bioelectronics (Be) / Microelectronics",1
"Elnathan Prinsen, directiesecretari aat@nvvp.net","Elnathan Prinsen, Directiesecretari Aat@Nvvp.Net","Elnathan Prinsen, Directiesecretari Aat@Nvvp.Net",1
Endocrinolog y,Endocrinolog Y,Endocrinolog Y,1
Erasmus Centre for Entrepreneur ship,Erasmus Centre for Entrepreneur Ship,Erasmus Centre for Entrepreneur Ship,1
Erasmus School of Economics (ESE),Erasmus School of Economics (Ese),Erasmus School of Economics (Ese),1
Erasmus School of Economics and Erasmus School of Health Policy Management,Erasmus School of Economics and Erasmus School of Health Policy Management,Erasmus School of Economics and Erasmus School of Health Policy Management,1
Erasmus School of Health Policy &,Erasmus School of Health Policy and,Erasmus School of Health Policy and,1
Erasmus School of Health Policy & Management / HTA,Erasmus School of Health Policy and Management,Erasmus School of Health Policy and Management,1
"Erasmus School of Health Policy & Management,",Erasmus School of Health Policy and Management,Erasmus School of Health Policy and Management,1
"Erasmus School of Law, Erasmus School of Health Policy & Management",Erasmus School of Health Policy and Management,Erasmus School of Health Policy and Management,1
Erasmus School of Law/Health Law,Erasmus School of Law / Health Law,Erasmus School of Law / Health Law,1
Erasmus School of Philosophy,Erasmus School of Philosophy,Erasmus School of Philosophy,1
Erasmus School of Social and Behavioral Sciences Child and Adolescent Psychiatry/Psychology,Psychiatry,Psychiatry,1
Erasmus School of Social and Behavioural,Erasmus School of Social and Behavioural,Erasmus School of Social and Behavioural,1
Erasmus school of social and behavioural sciences (ESSB),Erasmus School of Social and Behavioural Sciences (Essb),Erasmus School of Social and Behavioural Sciences (Essb),1
Ethics & Philosophy of Technology,Ethics and Philosophy of Technology,Ethics and Philosophy of Technology,1
Ethics of Technologies,Ethics of Technologies,Ethics of Technologies,1
"Faculteit Elektrotechniek, Wiskunde en Informatica","Faculteit Elektrotechniek, Wiskunde En Informatica","Faculteit Elektrotechniek, Wiskunde En Informatica",1
"Faculty Technology,",Faculty Technology,Faculty Technology,1
"Faculty Technology, Policy & Management","Faculty Technology, Policy and Management","Faculty Technology, Policy and Management",1
"Faculty of Electrical Engineering,",Faculty of Electrical Engineering,Faculty of Electrical Engineering,1
"Faculty of Electrical Engineering, Mathematics & Computer Science","Faculty of Electrical Engineering, Mathematics and Computer Science","Faculty of Electrical Engineering, Mathematics and Computer Science",1
"Faculty of Electrical Engineering, Mathematics & Computer Science and Erasmus School of Social and Behavioural Sciences, Director of the Leiden-Delft- Erasmus Center for Education","Faculty of Electrical Engineering, Mathematics and Computer Science and Erasmus School of Social and Behavioural Sciences, Director of the Leiden-Delft- Erasmus Center for Education","Faculty of Electrical Engineering, Mathematics and Computer Science and Erasmus School of Social and Behavioural Sciences, Director of the Leiden-Delft- Erasmus Center for Education",1
Faculty of Industrial Design,Faculty of Industrial Design,Faculty of Industrial Design,1
Faculty of Technology & Management,Faculty of Technology and Management,Faculty of Technology and Management,1
Generation R,Generation R,Generation R,1
"Gynaecological Oncology & 3mE, dept. BMechE","Gynaecological Oncology and 3me, Bmeche","Gynaecological Oncology and 3me, Bmeche",1
Gyneacological Oncology Biomechanical Engineering,Biomechanical Engineering,Biomechanical Engineering,1
"HTA, Erasmus School of","Hta, Erasmus School of","Hta, Erasmus School of",1
"HTA, Erasmus School of Health Policy & Management",Erasmus School of Health Policy and Management,Erasmus School of Health Policy and Management,1
Head of Department of Sustainable Design Engineering,Head of Sustainable Design Engineering,Head of Sustainable Design Engineering,1
Head of the Division of Internal and Geriatric Medicine,Head of the Division of Internal and Geriatric Medicine,Head of the Division of Internal and Geriatric Medicine,1
Head of the Values Technology and Innovation Department,Head of the Values Technology and Innovation Department,Head of the Values Technology and Innovation Department,1
Health Economics (ESHPM),Health Economics (Eshpm),Health Economics (Eshpm),1
Health Economics / Applied Economics,Health Economics / Applied Economics,Health Economics / Applied Economics,1
Health Holland,Health Holland,Health Holland,1
Health Policy and Management (from 1-05-22),Health Policy and Management (From 1-05-22),Health Policy and Management (From 1-05-22),1
Health Service Management and Organisation,Health Service Management and Organisation,Health Service Management and Organisation,1
Health Services Management & Operation (ESHPM),Health Services Management and Operation (Eshpm),Health Services Management and Operation (Eshpm),1
Health Technology Assessment (HTA) / Erasmus School of Health Policy & Management (ESHPM),Erasmus School of Health Policy and Management,Erasmus School of Health Policy and Management,1
Health literacy,Health Literacy,Health Literacy,1
Healthcare Governance / Dutch Inspectorate for Healthcare & Youth,Healthcare Governance / Dutch Inspectorate for Healthcare and Youth,Healthcare Governance / Dutch Inspectorate for Healthcare and Youth,1
Healthcare Governance/ Dutch Healthcare Institute,Healthcare Governance / Dutch Healthcare Institute,Healthcare Governance / Dutch Healthcare Institute,1
Healthcare Insurance,Healthcare Insurance,Healthcare Insurance,1
Healthcare Quality and,Healthcare Quality and,Healthcare Quality and,1
"Henk Mathijssen, voorzitter@plus minus.nl","Henk Mathijssen, Voorzitter@Plus Minus.Nl","Henk Mathijssen, Voorzitter@Plus Minus.Nl",1
Human-Robot Interaction,Human-Robot Interaction,Human-Robot Interaction,1
Human-centered Design Adult ICU,Human-Centered Design Adult ICU,Human-Centered Design Adult ICU,1
ICU/PHARM,ICU / Pharm,ICU / Pharm,1
IDE Human-,Ide Human-,Ide Human-,1
IDE Serious Game Design,Ide Serious Game Design,Ide Serious Game Design,1
Imaging Phyisics,Imaging Phyisics,Imaging Phyisics,1
Imaging Physics / Radiology & Nuclear Medicine,Radiology and Nuclear Medicine,Radiology and Nuclear Medicine,1
Imaging Physics/Bio medical Engineering,Imaging Physics / Bio Medical Engineering,Imaging Physics / Bio Medical Engineering,1
Institute Medical Technology Assessment,Institute Medical Technology Assessment,Institute Medical Technology Assessment,1
Institute of Medical Technology Assessment,Institute of Medical Technology Assessment,Institute of Medical Technology Assessment,1
Integral Capacity management,Integral Capacity Management,Integral Capacity Management,1
Intelligent Systems Department - Computer Graphics and Visualization (CGV),Intelligent Systems Department - Computer Graphics and Visualization (Cgv),Intelligent Systems Department - Computer Graphics and Visualization (Cgv),1
Intensive Care,Intensive Care,Intensive Care,1
Interactive Intelligence,Interactive Intelligence,Interactive Intelligence,1
Internal Medi- cine,Internal Medi- Cine,Internal Medi- Cine,1
Internal Medicine Erasmus MC Orthopedics & Sports medicine,Internal Medicine,Internal Medicine,1
Internal Medicine/,Internal Medicine,Internal Medicine,1
Internal and Geriatric Medicine,Internal and Geriatric Medicine,Internal and Geriatric Medicine,1
Internal medicine,Internal Medicine,Internal Medicine,1
Interventional Radiology,Interventional Radiology,Interventional Radiology,1
J.j.visser@erasmusmc.nl,J.J.Visser@Erasmusmc.Nl,J.J.Visser@Erasmusmc.Nl,1
"Jean Monnet Chair of Economic Analysis of European Law, Erasmus School of Law, Co- director Jean","Jean Monnet Chair of Economic Analysis of European Law, Erasmus School of Law, Co- Director Jean","Jean Monnet Chair of Economic Analysis of European Law, Erasmus School of Law, Co- Director Jean",1
Laboratory Medical,Laboratory Medical,Laboratory Medical,1
Living labs Rijndam,Living Labs Rijndam,Living Labs Rijndam,1
M.B.O.T.Klenk@tudelft.nl,M.B.O.T.Klenk@Tudelft.Nl,M.B.O.T.Klenk@Tudelft.Nl,1
MC,Mc,Mc,1
MDL,Mdl,Mdl,1
Maatschap pelijke Ontwikkeli ng/Social Developme nt,Maatschap Pelijke Ontwikkeli Ng / Social Developme Nt,Maatschap Pelijke Ontwikkeli Ng / Social Developme Nt,1
Management &,Management and,Management and,1
Marketing Management,Marketing Management,Marketing Management,1
Mathematics and,Mathematics and,Mathematics and,1
Mathematics/Compute,Mathematics / Compute,Mathematics / Compute,1
"Mechanical, Maritime and Materials Engineering (3ME)/ Biomechanical engineering (BME)",Biomechanical Engineering,Biomechanical Engineering,1
Medical Ethics and Philosophy and History of Medicine,Medical Ethics and Philosophy and History of Medicine,Medical Ethics and Philosophy and History of Medicine,1
Medical Ethics and Philosophy of Medicine,Medical Ethics and Philosophy of Medicine,Medical Ethics and Philosophy of Medicine,1
"Medical Ethics, Philosophy and history of Medi- cine","Medical Ethics, Philosophy and History of Medi- Cine","Medical Ethics, Philosophy and History of Medi- Cine",1
Medical Oncol- ogy,Medical Oncol- Ogy,Medical Oncol- Ogy,1
Medical microbiology and infectious diseases,Medical Microbiology and Infectious Diseases,Medical Microbiology and Infectious Diseases,1
Medical oncology,Medical Oncology,Medical Oncology,1
Medicine ErasmusMC Orthopedics & medicine TUDelft Intelligent syst ErasmusMC Orthopedics &,Medicine Erasmusmc Orthopedics and Medicine Tudelft Intelligent Syst Erasmusmc Orthopedics and,Medicine Erasmusmc Orthopedics and Medicine Tudelft Intelligent Syst Erasmusmc Orthopedics and,1
"Medicine,",Medicine,Medicine,1
